1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1.00048,1.00242,1.00315,1.00085,1.00163,1.00351,1.00030,1.00391,1.00133,1.00117,1.00427,1.00093,1.00089,1.00411,1.00022,1.00077,1.00491
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
